* This is the StructMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to StructMobWeight.csv.
* Lines starting with '*' are comments and ignored
* It allows you to add and remove mobs and adjust their spawnweights for Structures
* like shipwrecks, nether fortresses, water monuments, etc.
* 
1, additionalstructures:acacia_log, HEADING, header:ignore, 0, 0, 0
2, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
3, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
4, additionalstructures:big_jungle_log, HEADING, header:ignore, 0, 0, 0
5, additionalstructures:birch_log, HEADING, header:ignore, 0, 0, 0
6, additionalstructures:boat_1, HEADING, header:ignore, 0, 0, 0
7, additionalstructures:boat_2, HEADING, header:ignore, 0, 0, 0
8, additionalstructures:bone_1, HEADING, header:ignore, 0, 0, 0
9, additionalstructures:bone_2, HEADING, header:ignore, 0, 0, 0
10, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
11, additionalstructures:cactus_1, HEADING, header:ignore, 0, 0, 0
12, additionalstructures:cactus_2, HEADING, header:ignore, 0, 0, 0
13, additionalstructures:camp_1, HEADING, header:ignore, 0, 0, 0
14, additionalstructures:camp_2, HEADING, header:ignore, 0, 0, 0
15, additionalstructures:camp_3, HEADING, header:ignore, 0, 0, 0
16, additionalstructures:damaged_mushroom_1, HEADING, header:ignore, 0, 0, 0
17, additionalstructures:damaged_mushroom_2, HEADING, header:ignore, 0, 0, 0
18, additionalstructures:dead_tree_1, HEADING, header:ignore, 0, 0, 0
19, additionalstructures:dead_tree_2, HEADING, header:ignore, 0, 0, 0
20, additionalstructures:desert_pillars_1, HEADING, header:ignore, 0, 0, 0
21, additionalstructures:desert_pillars_2, HEADING, header:ignore, 0, 0, 0
22, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
23, additionalstructures:desert_tomb_1, HEADING, header:ignore, 0, 0, 0
24, additionalstructures:desert_tomb_1, MONSTER, minecraft:husk, 5, 2, 4
25, additionalstructures:desert_tomb_2, HEADING, header:ignore, 0, 0, 0
26, additionalstructures:desert_tomb_2, MONSTER, minecraft:husk, 5, 2, 4
27, additionalstructures:dragon_fossil_1, HEADING, header:ignore, 0, 0, 0
28, additionalstructures:dragon_fossil_2, HEADING, header:ignore, 0, 0, 0
29, additionalstructures:end_building_1, HEADING, header:ignore, 0, 0, 0
30, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
31, additionalstructures:end_crystal, HEADING, header:ignore, 0, 0, 0
32, additionalstructures:end_dungeon_1, HEADING, header:ignore, 0, 0, 0
33, additionalstructures:end_pillar_ruin_1, HEADING, header:ignore, 0, 0, 0
34, additionalstructures:end_pillar_ruin_2, HEADING, header:ignore, 0, 0, 0
35, additionalstructures:end_ruin_1, HEADING, header:ignore, 0, 0, 0
36, additionalstructures:end_spawn_altar_1, HEADING, header:ignore, 0, 0, 0
37, additionalstructures:end_spawn_altar_2, HEADING, header:ignore, 0, 0, 0
38, additionalstructures:end_tower_1, HEADING, header:ignore, 0, 0, 0
39, additionalstructures:end_tower_2, HEADING, header:ignore, 0, 0, 0
40, additionalstructures:end_tower_3, HEADING, header:ignore, 0, 0, 0
41, additionalstructures:end_tower_4, HEADING, header:ignore, 0, 0, 0
42, additionalstructures:end_wall_ruin_1, HEADING, header:ignore, 0, 0, 0
43, additionalstructures:end_wall_ruin_2, HEADING, header:ignore, 0, 0, 0
44, additionalstructures:end_wall_ruin_3, HEADING, header:ignore, 0, 0, 0
45, additionalstructures:fallen_dead_tree_1, HEADING, header:ignore, 0, 0, 0
46, additionalstructures:fallen_dead_tree_2, HEADING, header:ignore, 0, 0, 0
47, additionalstructures:fallen_dead_tree_3, HEADING, header:ignore, 0, 0, 0
48, additionalstructures:fallen_jungle_tree_1, HEADING, header:ignore, 0, 0, 0
49, additionalstructures:fallen_oak_tree_1, HEADING, header:ignore, 0, 0, 0
50, additionalstructures:fallen_oak_tree_2, HEADING, header:ignore, 0, 0, 0
51, additionalstructures:fallen_palm_tree_1, HEADING, header:ignore, 0, 0, 0
52, additionalstructures:fallen_palm_tree_2, HEADING, header:ignore, 0, 0, 0
53, additionalstructures:fallen_spruce_tree_1, HEADING, header:ignore, 0, 0, 0
54, additionalstructures:fallen_spruce_tree_2, HEADING, header:ignore, 0, 0, 0
55, additionalstructures:farm_1, HEADING, header:ignore, 0, 0, 0
56, additionalstructures:farm_2, HEADING, header:ignore, 0, 0, 0
57, additionalstructures:flotsam_1, HEADING, header:ignore, 0, 0, 0
58, additionalstructures:flotsam_2, HEADING, header:ignore, 0, 0, 0
59, additionalstructures:flotsam_3, HEADING, header:ignore, 0, 0, 0
60, additionalstructures:flotsam_4, HEADING, header:ignore, 0, 0, 0
61, additionalstructures:flotsam_5, HEADING, header:ignore, 0, 0, 0
62, horror_element_mod:fortified_church, HEADING, header:ignore, 0, 0, 0
63, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
64, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
65, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
66, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
67, minecraft:fortress, MONSTER, minecraft:skeleton, 5, 5, 5
68, minecraft:fortress, MONSTER, minecraft:magma_cube, 5, 4, 4
69, additionalstructures:fossil_1, HEADING, header:ignore, 0, 0, 0
70, additionalstructures:fossil_2, HEADING, header:ignore, 0, 0, 0
71, horror_element_mod:graveyard, HEADING, header:ignore, 0, 0, 0
72, horror_element_mod:herobrine_sanctum, HEADING, header:ignore, 0, 0, 0
73, additionalstructures:ice_floes_1, HEADING, header:ignore, 0, 0, 0
74, additionalstructures:ice_floes_2, HEADING, header:ignore, 0, 0, 0
75, additionalstructures:ice_floes_3, HEADING, header:ignore, 0, 0, 0
76, additionalstructures:ice_floes_4, HEADING, header:ignore, 0, 0, 0
77, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
